page,seq,round1_answer,round2_answer,match,question_start
001,1,×,×,MATCH,内閣は条約を締結する場合には、必ず当該条約の締結前に国会の承認を経ることが必要で
001,2,×,○,DIFF,内閣は、事前に、時宜によっては事後に、国会の承認を経て条約を締結するが、やむを得
001,3,×,×,MATCH,内閣は、違憲及び法律の規定を実施するために、政令及び省令を制定する。
001,4,○,×,DIFF,内閣は、実質的にみて、立法権を行使することがある。
002,1,×,○,DIFF,内閣総理大臣は、その他の国務大臣と平等な関係にあり、慣習として内閣を代表している
002,2,○,○,MATCH,内閣総理大臣は、内閣を代表して議案を国会に提出する。
002,3,×,×,MATCH,法律および政令には、その執行責任を明確にするため、全て主任の国務大臣が署名し、内
002,4,×,×,MATCH,国務大臣は、その在任中、内閣の同意がなければ、訴追されない。
002,5,○,○,MATCH,参議院の緊急集会を求めることは、内閣の権能である。
002,6,○,○,MATCH,「外交関係を処理すること」、「下級裁判所の裁判官を任命すること」、「政令を制定す
002,7,×,×,MATCH,「政令の制定」「国会の特別会の召集」「下級裁判所の裁判官の任命」「国会及び国民に
003,1,×,×,MATCH,内閣総理大臣は、閣議の決定を経て国務大臣を罷免することができるが、国会において国
003,2,○,○,MATCH,内閣総理大臣その他の国務大臣は、国務に関し二議院のいずこにも出席することができる
003,3,×,○,DIFF,内閣総理大臣その他の国務大臣は、答弁又は説明のため出席を求められたときは、出席し
003,4,○,×,DIFF,国務大臣を任命すること、国務大臣を任免すること、国務大臣の罷免に関し、内閣総理大
003,5,×,×,MATCH,政令は、憲法73条6号に基づき、内閣総理大臣が制定するもので、閣議決定を経て成立
003,6,×,○,DIFF,内閣総理大臣の報酬は、在任中、これを減額することができる。
003,7,×,○,DIFF,内閣総理大臣が行政各部に対し指揮監督権を行使するためには、内閣総理大臣が決定した
004,1,×,×,MATCH,すべて司法権は、最高裁判所及び法律の定めるところにより設置する下級裁判所並びに特
004,2,○,○,MATCH,司法権とは、民事事件及び刑事事件の裁判権にとどまらず、行政事件の裁判権をも含むも
004,3,×,×,MATCH,裁判官弾劾裁判所及び、家庭裁判所は特別裁判所である。
004,4,○,○,MATCH,行政機関は、終審として裁判を行うことができない。
004,5,○,×,DIFF,法律が、国会の両議院によって議決を経たものとされ、適法な手続により公布されている
004,6,×,○,DIFF,普通地方公共団体の議会の議員に対する出席停止の懲罰は、事も議会の自主的、自律的な
005,1,×,○,DIFF,地方公共団体の議会がその議員に対して行った除名処分は、議会の自律権を尊重すべきで
005,2,×,○,DIFF,大学による単位授与行為（認定）は、純然たる大学内部の問題として大学の自律的判断に
005,3,×,×,MATCH,国公立大学が専攻科修了の認定をしないことは、一般市民としての学生が国公立大学の利
005,4,×,×,MATCH,大学は、国公立であると私立であるとを問わず、自律的な法規範を有する特殊な部分が社
005,5,×,×,MATCH,具体的な権利義務ないし法律関係に関する紛争であっても、宗教上の教義に関する判断な
006,1,○,×,DIFF,政党の結社としての自律性からすると、政党の党内に対する処分は原則として自律的運営
006,2,○,○,MATCH,内閣による衆議院の解散は、高度の政治性を有する国家行為であるから、解散が憲法の明
006,3,×,○,DIFF,国家統治の基本に関する高度に政治性のある国家行為は、それが法律上の争訟になり、有
006,4,○,○,MATCH,国会議員の立法行為は、憲法の文言に明白に違反しているにもかかわらず立法を行うとい
007,1,×,×,MATCH,最高裁判所は、その長たる裁判官及び法律の定める員数のその他の裁判官でこれを構成し
