record_id,current_human_check_status,gpt_check_note,gpt_check_status,note_source
KB2025-034-001,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0034 pageQ=172/pageA=173.,done,stale_gpt_review
KB2025-034-002,pending,危険類型: Q文逆推測補完 / OCR誤記 / 限定語欠落. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 限定語（必ず／直ちに／あらかじめ／原則として／ただし／一律に 等）の有無を確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0034 pageQ=172/pageA=173.,done,stale_gpt_review
KB2025-034-003,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0034 pageQ=172/pageA=173.,done,stale_gpt_review
KB2025-034-004,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=○ 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0034 pageQ=172/pageA=173.,done,stale_gpt_review
KB2025-034-005,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0034 pageQ=172/pageA=173.,done,stale_gpt_review
KB2025-035-001,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0035 pageQ=174/pageA=175.,done,stale_gpt_review
KB2025-035-002,pending,危険類型: Q文逆推測補完 / OCR誤記 / 数値要件不一致. 不整合: answer_symbol=○ 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 数値要件・多数決要件・期間（例: 過半数、3年、5年、日数）を確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0035 pageQ=174/pageA=175.,done,stale_gpt_review
KB2025-035-003,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0035 pageQ=174/pageA=175.,done,stale_gpt_review
KB2025-035-004,pending,危険類型: Q文逆推測補完 / OCR誤記 / 数値要件不一致. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 数値要件・多数決要件・期間（例: 過半数、3年、5年、日数）を確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0035 pageQ=174/pageA=175.,done,stale_gpt_review
KB2025-035-005,pending,危険類型: Q文逆推測補完 / OCR誤記. 不整合: answer_symbol=× 自体は画像右欄確認ベースで維持。現状の主問題は Q/E の読取・転記不全で、Q文とE文はいずれもプレースホルダーまたはOCR要修正。問題文から自然に導ける正誤の最終判定は左欄原文の再転記後に再確認。 画像確認: 解答欄の○×表記は念のため再確認するが、主眼はQ/E文の再転記; 問題文左欄を原文どおりに再転記し、推測補完部分を除去; OCRで崩れた漢字・助詞・否定語・主語述語を原画像で確認; 問題文左欄・解説右欄を画像から直接転記し、要約文を置換. 参照: 0035 pageQ=174/pageA=175.,done,stale_gpt_review
