record_id,image_seq,subject,subject_middle,section_title,question_no,rank_label,question_text,answer_symbol,answer_boolean,explanation_text,source_image,issue_flag,issue_type,issue_detail,remarks,human_check_note,gpt_check_status,gpt_check_note
KB2025-013-001,013,憲法,統治,予備費の支出,1,B,予算には、予備費を必ず計上しなければならない。,×,False,憲法87条1項は予備費を「設けることができる」と規定しており、設置は義務ではない。必ず設けなければならないとする本肢は誤っている。,0013.png,1,読取揺れ,,answer_symbolは右欄「1 ×」から確認,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-029-002,029,行政法,行政法の一般的な法理論,許可,1,B,許可は、一般的な禁止を特定の場合に解除して適法に行為を行う自由を回復させるにとどまるものであるから、許可を受けた地位は行政上の処分の対象とはならない。,×,False,許可は一般的禁止の解除であるが、許可を受けた地位に対しても取消・停止等の行政処分を加えることができる。行政処分の対象とはならないとする本肢は誤っている。,0029.png,1,読取揺れ,,answer_symbolは右欄「1 ×」から確認,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-029-003,029,行政法,行政法の一般的な法理論,許可,2,B,農地法3条の権利移転の許可は、一般的な禁止を特定の場合に解除する「許可」にあたる。,×,False,農地法3条の権利移転許可は、私人間の権利移転行為の効力を補完・完成させるものであり、行政法学上は「認可」にあたる。「許可」とする本肢は誤っている。,0029.png,1,読取揺れ,,answer_symbolは右欄「2 ×」から確認,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-029-004,029,行政法,行政法の一般的な法理論,許可,3,A,農地法3条の許可を受けずになした農地の権利移転契約は、行政法上の違反にとどまるから、私法上の効力は有効である。,×,False,農地法の許可を受けずになした農地の権利移転は私法上も無効とするのが判例（最判昭33.3.18）の立場である。私法上有効とする本肢は誤っている。,0029.png,1,読取揺れ,,answer_symbolは右欄「3 ×」から確認,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-029-005,029,行政法,行政法の一般的な法理論,許可,4,B,火薬類取締法による火薬類の製造・販売等に関する許可は、一般的に禁止された行為を特定の場合に解除する「許可」にあたる。,○,True,火薬類の製造・輸入・販売等は一般的に禁止されており、火薬類取締法上の許可はこの禁止を特定の場合に解除するものであるから、行政法学上の「許可」にあたる。本肢は正しい。,0029.png,1,読取揺れ,,原本照合推奨,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-001,030,行政法,行政法の一般的な法理論,許可,5,A,農地転用の許可は、農地転用を一般的に禁止したうえでその禁止を解除するものであり、行政法学上の「許可」の典型例にあたる。,×,False,農地転用許可は農地の利用権を特定の者に付与する性格を有するとも言われ、一般的禁止の解除としての「許可」の典型例とはいえない。本肢は誤っている。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-002,030,行政法,行政法の一般的な法理論,許可,6,B,農地において農業用施設を設置するための農地法上の許可は、行政法学上の「許可」にあたる。,○,True,当該許可は一般的に禁止された農地転用行為について、特定の場合に禁止を解除するものであり「許可」にあたる。本肢は正しい。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-003,030,行政法,行政法の一般的な法理論,許可,7,B,特定の者に対して新たな権利・法的地位を設定する行政行為は、「許可」にあたる。,×,False,特定の者に新たな権利・法的地位を設定する行政行為は「特許」にあたり、「許可」（一般的禁止の解除）とは異なる。本肢は誤っている。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-004,030,行政法,行政法の一般的な法理論,許可,8,B,電気事業法に基づく電力会社への事業許可は、行政法学上の「許可」（一般的禁止の解除）にあたる。,×,False,電気事業法上の事業許可は、特定の者に電気事業を行う権利を設定するものであり、一般的禁止の解除としての「許可」ではなく「特許」にあたる。本肢は誤っている。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-005,030,行政法,行政法の一般的な法理論,許可,9,B,火薬類の製造許可（経済産業大臣所管）は、行政法学上の「許可」にあたる。,○,True,火薬類の製造は一般的に禁止されており、経済産業大臣による製造許可はその禁止を解除するものであるから「許可」にあたる。本肢は正しい。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-006,030,行政法,行政法の一般的な法理論,許可,10,B,銀行業の免許は、特定の者に銀行業を営む権利を付与するものであるから、行政法学上の「特許」にあたる。,○,True,銀行業の免許は、特定の者に銀行業という特別の地位・権利を設定するものであり、行政法学上の「特許」にあたる。本肢は正しい。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-007,030,行政法,行政法の一般的な法理論,許可,11,B,建築基準法に基づく建築確認は、行政法学上の「許可」にあたる。,×,False,建築確認は、建築計画が建築基準法等の基準に適合しているかを確認する行政行為であり「確認」にあたる。「許可」ではない。本肢は誤っている。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-030-008,030,行政法,行政法の一般的な法理論,特許,1,B,特定の行為を禁ずる規制を解除して本来の自由を回復させる行政行為を「特許」という。,×,False,特定の行為の禁止を解除して自由を回復させるのは「許可」であり、「特許」は特定の者に新たな権利・法的地位を設定する行為である。定義を混同した本肢は誤っている。,0030.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-031-001,031,行政法,行政法の一般的な法理論,特許,2,B,公有水面の埋立免許は、行政法学上の「特許」にあたる。,○,True,公有水面の埋立免許は、特定の者に公有水面を埋め立てる権利を付与するものであり、行政法学上の「特許」にあたる。本肢は正しい。,0031.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-031-002,031,行政法,行政法の一般的な法理論,特許,3,B,道路に工作物を設けて道路を占用するための道路管理者の許可（道路占用許可）は、行政法学上の「特許」の性格にあたる。,○,True,道路占用許可は、道路という公物を特定の者が排他的に使用する権利を設定するものであり、行政法学上「特許」の性格を有する。本肢は正しい。,0031.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-031-005,031,行政法,行政法の一般的な法理論,特許,6,A,自動車の運転免許は、公道上で自動車を走行させるという権利を特定の者に付与するものであるから、行政法学上の「特許」にあたる。,×,False,自動車の運転免許は、公道走行を一般的に禁止したうえでその禁止を特定の場合に解除するものであるから、「特許」ではなく「許可」にあたる。本肢は誤っている。,0031.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
