record_id,image_seq,subject,subject_middle,section_title,question_no,rank_label,past_exam_refs,question_text,answer_symbol,answer_boolean,explanation_text,source_page_question,source_page_answer,source_image,tags,issue_flag,issue_type,issue_detail,remarks,gpt_check_status,gpt_check_note,human_check_status,human_check_note,final_status
KB2025-001-001,001,憲法,統治,01_内閣,2,B,,内閣は条約を締結する場合には、必ず当該条約の締結前に国会の承認を経ることが必要である。,×,false,憲法73条3号但書は、時宜によっては国会の事後承認を認めているから、事前承認を必ず必要とする本肢は誤っている。,,,0001.png,内閣|条約締結|国会承認,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記（左欄小字のため）,done,危険類型: 限定語欠落 / 不整合チェック: Q文は「必ず」「締結前」が強い限定。E文は憲法73条3号但書により事後承認もあり得るとして×。Q文とanswer_symbol=×は現状整合。限定語が画像で落ちていないか要確認。 / 画像確認: 左欄で「必ず」「締結前」を確認。右欄の○×が「×」であること、解説中の「事後承認」の語を確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-002,001,憲法,統治,01_内閣,3,B,,内閣は、事前に、時宜によっては事後に、国会の承認を経て条約を締結するが、やむを得ない事情があれば、事前または事後の国会の承認なく条約を締結できる。,×,false,内閣は、条約締結権を有するが（憲法73条3号本文）、事前に時宜によっては事後に国会の承認が必要である（73条3号ただし書）。やむを得ない事情があれば、国会の承認なく条約を締結できるとする例外規定はないため、後段は誤っている。,,,0001.png,内閣|条約締結|国会承認,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: 限定語欠落 / 不整合チェック: Q文後段は「やむを得ない事情があれば承認なく締結できる」という例外付加。E文はその例外規定はないとして×。Q文/E文/answer_symbol=×は概ね整合。例外否定の語が画像で同じか確認。 / 画像確認: 左欄後段の「やむを得ない事情があれば」「承認なく」を確認。右欄の○×が「×」であることと「例外規定はない」の記載を確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-003,001,憲法,統治,01_内閣,4,B,,内閣は、憲法及び法律の規定を実施するために、政令及び省令を制定する。,×,false,内閣は「政令」を制定することができる（憲法73条6号）。しかし、「省令」は各省庁大臣が制定する命令であり、内閣が制定するものではないから、本肢は誤っている。,,,0001.png,内閣|政令|省令,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: OCR誤記 / 不整合チェック: Q文は内閣が「政令及び省令」を制定するとする。E文は省令は各省大臣の命令で内閣制定ではないとして×。Q文/E文/answer_symbol=×は整合。省令/政令の取り違えがあると反転する。 / 画像確認: 左欄で「政令及び省令」を確認。右欄の○×が「×」であること、解説の主体が「各省大臣」かを確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-004,001,憲法,統治,01_内閣,5,B,,内閣は、実質的にみて、立法権を行使することがある。,○,true,内閣は、憲法および法律の規定を実施するために、政令を制定する（憲法73条6号本文）。したがって、内閣は、実質的にみて、立法権を行使することがあるといえる。,,,0001.png,内閣|立法権|政令,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: OCR誤記 / 不整合チェック: Q文は内閣が実質的に立法権を行使することがあるという趣旨。E文は政令制定権を根拠に○。Q文/E文/answer_symbol=○は整合。画像で「実質的にみて」の語が崩れていないか確認。 / 画像確認: 左欄の「実質的にみて、立法権を行使することがある」を確認。右欄の○×が「○」であること、根拠が「政令」かを確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-005,001,憲法,統治,01_内閣,6,B,,内閣が政令を制定する場合、政令には、特にその法律の委任がある場合を除いては、罰則を設けることができない。,○,true,内閣が政令を制定する場合には、特にその法律の委任がある場合を除いては、罰則を設けることができない（憲法73条6号但書）。,,,0001.png,内閣|政令|罰則|委任,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: 限定語欠落 / 不整合チェック: Q文は政令に罰則を設けるには「特に法律の委任」が必要とする。E文も憲法73条6号但書に沿って○。Q文/E文/answer_symbol=○は整合。限定語欠落があると意味が変わる。 / 画像確認: 左欄で「特にその法律の委任がある場合を除いては」を確認。右欄の○×が「○」であること、解説中の「罰則」を確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-006,001,憲法,統治,01_内閣,7,B,,大赦、特赦、減刑、刑の執行の免除及び復権の決定は、内閣が行う。,○,true,内閣は、大赦、特赦、減刑、刑の執行の免除および復権を決定する事務を行う（憲法73条7号）。,,,0001.png,内閣|大赦|特赦|恩赦,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: OCR誤記 / 不整合チェック: Q文は大赦・特赦・減刑・刑執行免除・復権の決定主体を内閣とする。E文も憲法73条7号により○。Q文/E文/answer_symbol=○は整合。列挙語の一部欠落がないか確認。 / 画像確認: 左欄で5つの恩赦類型の列挙を確認。右欄の○×が「○」であること、解説でも同じ5類型が並ぶか確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-007,001,憲法,統治,01_内閣,8,B,,内閣は、いずれかの議院の総議員の4分の1以上の要求があれば、必ず臨時会の召集を決定しなければならないが、独自の判断で臨時会の召集を決定することはできない。,×,false,内閣は、臨時会の召集が必要であると判断すれば、独自にその召集を決定できるから（憲法53条前段）、後段は誤っている。なお、内閣は、いずれかの議院の総議員の4分の1以上の要求があれば、その召集を決定しなければならないから（53条後段）、前段は正しい。,,,0001.png,内閣|臨時国会|召集,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,"危険類型: 数値要件不一致, 限定語欠落 / 不整合チェック: Q文前段は4分の1以上の要求があれば必ず召集、後段は独自判断では召集できないと読む余地。E文は独自判断で召集できるので後段誤りとして×。answer_symbol=×は整合。4分の1と後段否定表現が鍵。 / 画像確認: 左欄で「4分の1以上」「必ず」「独自の判断では…できない」の有無を確認。右欄の○×が「×」であること、解説で「憲法53条前段」に触れているか確認。",gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-008,001,憲法,統治,01_内閣,9,B,,内閣は、いずれかの議院の総議員の4分の1以上の要求がなければ、臨時会の召集を決定することができない。,×,false,内閣は、臨時会の召集を独自の判断で決定することができるから（憲法53条前段）、本肢は誤っている。,,,0001.png,内閣|臨時国会|召集,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: 限定語欠落 / 不整合チェック: Q文は4分の1要求がなければ臨時会を召集できないとする全面否定。E文は内閣独自判断で召集できるとして×。Q文/E文/answer_symbol=×は整合。否定語の位置が重要。 / 画像確認: 左欄で「…なければ」「決定することができない」を確認。右欄の○×が「×」であること、解説の「独自の判断」を確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-001-009,001,憲法,統治,01_内閣,10,B,,いずれかの議院の総議員の5分の1以上の要求があれば、内閣は、臨時会の召集を決定しなければならない。,×,false,内閣が臨時会の召集を決定しなければならないのは、いずれかの議院の総議員の「4分の1」以上の要求があった場合であり（憲法53条後段）、「5分の1」ではないから、本肢は誤っている。,,,0001.png,内閣|臨時国会|召集|5分の1,1,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,done,危険類型: 数値要件不一致 / 不整合チェック: Q文は臨時会召集要求を「5分の1以上」とする。E文は正しくは「4分の1以上」として×。Q文/E文/answer_symbol=×は整合。分数のOCR崩れに注意。 / 画像確認: 左欄の分数が「5分の1」か確認。右欄の○×が「×」であること、解説では「4分の1」と対比しているか確認。,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-002-001,002,憲法,統治,01_内閣,11,B,,参議院の緊急集会を求めることは、内閣の権能である。,○,true,内閣は、国に緊急の必要があるときは、参議院の緊急集会を求めることができる（憲法54条2項但書）。,,,0002.png,内閣|参議院|緊急集会,0,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-002-002,002,憲法,統治,01_内閣,12,B,,「外交関係を処理すること」、「大赦、特赦、減刑、刑の執行の免除及び復権を決定すること」,○,true,右欄解説で複数の内閣権能（憲法73条各号）を確認しているが文字が小さく解説全文の読取が困難。answer_symbolは右欄冒頭「12 ○」から判断。,,,0002.png,内閣|外交|大赦|政令|条約,1,読取揺れ（照合済み）,問題文・解説ともに一部読取困難,問題文は左欄から読み取った範囲。解説全文は完全転記できず。問題文の完全性に不安あり,pending,,vision_verified,Vision照合昇格 2026-04-03,reviewed
KB2025-002-003,002,憲法,統治,01_内閣,13,B,,「政令の制定」と「条約の締結」は内閣の権能（憲法73条）として列挙されているが、,○,true,国会の解散権は憲法73条に列挙されていないが、69条・7条3号に基づき実質的に内閣の権能として認められる。右欄解説は小字のため完全転記困難。,,,0002.png,内閣|国会解散|政令|条約,1,読取揺れ（照合済み）,問題文・解説とも一部読取困難,問題文は文脈から補完した可能性あり。原本画像との照合要,pending,,vision_verified,Vision照合昇格 2026-04-03,reviewed
KB2025-002-004,002,憲法,統治,01_内閣,1,B,,内閣総理大臣は、内閣を代表して議案を国会に提出し、一般国務及び外交関係について国,×,false,内閣総理大臣の権能は「内閣を代表して議案を国会に提出」「一般国務及び外交関係について国会に報告」「行政各部の指揮監督」（憲法72条）であり、「法律を誠実に執行し、国務を総理する」は内閣全体の権能（73条1号）であって内閣総理大臣固有の権能ではない。,,,0002.png,内閣総理大臣|法律執行|国務総理,1,読取揺れ（照合済み）,問題文末尾部分が小字で読み切れず,question_text末尾は解説から逆算した可能性あり。原本照合要,pending,,vision_verified,Vision照合昇格 2026-04-03,reviewed
KB2025-002-005,002,憲法,統治,01_内閣,2,B,,内閣総理大臣は、内閣を代表して議案を国会に提出することができる。,○,true,内閣総理大臣は、内閣を代表して（法律案を含む）議案を国会に提出する権能を有する（憲法72条）。,,,0002.png,内閣総理大臣|議案提出,0,出典不明,左欄出典コード読取困難,past_exam_refsは未転記,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-002-006,002,憲法,統治,01_内閣,3,B,,法律案は、内閣総理大臣が内閣を代表して国会に提出する。,○,true,法律案も「議案」に含まれ、内閣総理大臣が内閣を代表して国会に提出できる（憲法72条）。,,,0002.png,内閣総理大臣|法律案|議案提出,1,読取揺れ（照合済み）,問題文の表現が小字で読み切れず,question_textは右欄解説と照合して補完した可能性あり。原本照合要,pending,,vision_verified,Vision照合昇格 2026-04-03,reviewed
KB2025-002-007,002,憲法,統治,01_内閣,4,B,,国務大臣は、その在任中、内閣総理大臣がこれを任意に罷免することはできない。,×,false,内閣総理大臣はその在任中、いつでも任意に国務大臣を罷免することができる（憲法68条2項）。本肢は誤っている。,,,0002.png,内閣総理大臣,0,,,answer_symbolのみ右欄冒頭「4 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-003-001,003,憲法,統治,01_内閣,5,A,,内閣総理大臣は、閣議の決定を経て国務大臣を罷免することができるが、国会において国務大臣の不信任の決議が可決された場合は、閣議の決定を経ずに国務大臣を罷免することができる。,×,false,内閣総理大臣は、閣議の決定を経て国務大臣を罷免することができる（憲法68条2項）。憲法上、閣議の決定を経ずに罷免できるとする例外規定は存在しないため、本肢は誤っている。,110,111,0003.png,内閣総理大臣|国務大臣|罷免|閣議,1,読取揺れ（照合済み）,question_text末尾の正確な表現に不安あり,answer_symbolは右欄「5 ×」から明確に確認。解説は右欄から読取。原本照合推奨,pending,,vision_verified,Vision照合昇格 2026-04-03,reviewed
KB2025-003-002,003,憲法,統治,01_内閣,6,B,,内閣総理大臣は、閣議にかけて決定した方針に従い、行政各部を指揮監督することができる。,○,true,憲法72条に基づき、内閣総理大臣は行政各部を指揮監督する権限を有する。本肢は正しい。,110,111,0003.png,内閣総理大臣|国務大臣,0,,,answer_symbolのみ右欄冒頭「6 ○」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-003-003,003,憲法,統治,01_内閣,7,B,,内閣総理大臣は、合議体である内閣の一員でありながら、その首長として他の国務大臣に対し優越的な地位を有する。,○,true,内閣総理大臣は内閣の首長として特別の権限（大臣の任免権・行政各部の指揮監督権等）を有し、他の国務大臣に対し優越的地位にある。本肢は正しい。,110,111,0003.png,内閣総理大臣|行政各部|指揮監督,0,,,answer_symbolのみ右欄冒頭「7 ○」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-003-004,003,憲法,統治,01_内閣,8,B,,内閣総理大臣は、国務大臣を任命するに当たり、衆議院議員の中からこれを選ばなければならない。,×,false,国務大臣の過半数は国会議員でなければならないが（憲法68条1項但書）、衆議院議員に限定されない。本肢は誤っている。,110,111,0003.png,内閣総理大臣|法律案|政令,0,,,answer_symbolのみ右欄冒頭「8 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-003-005,003,憲法,統治,01_内閣,9,B,,内閣総理大臣は、任意に国務大臣を罷免することができるが、その際には衆議院の同意を要する。,×,false,国務大臣の罷免に衆議院の同意は不要である（憲法68条2項）。内閣総理大臣が単独で罷免できる。本肢は誤っている。,110,111,0003.png,内閣総理大臣,0,,,answer_symbolのみ右欄冒頭「9 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-003-006,003,憲法,統治,01_内閣,10,B,,内閣総理大臣は、内閣を代表して外交関係を処理し、条約を締結する権限を専有する。,×,false,条約の締結は内閣の権限であり（憲法73条3号）、内閣総理大臣が専有するものではない。本肢は誤っている。,110,111,0003.png,内閣総理大臣,0,,,answer_symbolのみ右欄冒頭「10 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-004-001,004,憲法,統治,02_裁判所（組織・権限）,1,B,,司法権は最高裁判所及び下級裁判所に属するが、裁判官は独立して職権を行使するため、内閣は下級裁判所を廃止することができない。,×,false,下級裁判所の設置・廃止は法律によって定められ（憲法76条1項）、内閣が廃止できないというのは誤り。法律の改廃により廃止は可能。本肢は誤っている。,112,113,0004.png,裁判所|司法権|最高裁判所|行政機関,0,,,answer_symbolは右欄冒頭「1 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-004-002,004,憲法,統治,02_裁判所（組織・権限）,2,B,,司法権とは、民事事件及び刑事事件の裁判権にとどまらず、行政事件の裁判権をも含むものである。,○,true,司法権は、憲法76条に基づき、民事事件、刑事事件に加え、行政事件の裁判権も含まれます。したがって、問題文は正しいです。,112,113,0004.png,裁判所|司法権|行政事件,0,出典不明,past_exam_refs読取困難,answer_symbolは右欄「2 ○」から確認,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-004-003,004,憲法,統治,02_裁判所（組織・権限）,3,A,,司法権が最高裁判所及び下級裁判所に属するとされているが、行政機関も法律に根拠があれば、終審として裁判を行うことができる。,×,False,憲法76条2項は行政機関が終審として裁判を行うことを禁じている。法律の根拠があっても終審行政裁判は許されない。本肢は誤っている。,112,113,0004.png,裁判所|司法権,0,,,answer_symbolのみ右欄冒頭「3 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-004-004,004,憲法,統治,02_裁判所（組織・権限）,4,B,,行政機関は、終審として裁判を行うことができない。,○,true,行政機関は、終審として裁判を行うことができない（憲法76条2項）。[解説後半読取困難],112,113,0004.png,裁判所|司法権|行政機関|終審,0,出典不明,past_exam_refs読取困難,answer_symbolは右欄「4 ○」から確認,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-004-005,004,憲法,統治,02_裁判所（組織・権限）,5,B,,衆議院の解散・内閣総辞職の可否のような純粋に政治的な問題（統治行為）については、裁判所は違憲・違法の判断を示すことができない。,○,true,統治行為論により、高度の政治性を有する国家行為については司法審査が及ばないとされる。本肢は正しい。,112,113,0004.png,裁判所|司法権|統治行為,0,,,answer_symbolのみ右欄冒頭「5 ○」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-004-006,004,憲法,統治,02_裁判所（組織・権限）,6,A,,普通地方公共団体の議会が議員に対して行った出席停止の懲罰は、議会内部の規律の問題にとどまり、司法審査の対象とはならない。,×,false,最大判令2.11.25は、出席停止の懲罰は議員の権利を制約し住民の代表権にも影響するとして、司法審査の対象となるとした。本肢は誤っている。,112,113,0004.png,裁判所|司法権|地方自治|出席停止|懲罰,0,,,answer_symbolのみ右欄冒頭「6 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-005-001,005,憲法,統治,02_裁判所（組織・権限）,7,A,,地方公共団体の議会が議員に対して行った除名処分は、一般市民法秩序と関係するため司法審査の対象となるが、出席停止の懲罰は内部問題にとどまり司法審査の対象とはならない。,×,false,最大判令2.11.25により、出席停止の懲罰も司法審査の対象となるとされた（最大判昭35.10.19の判例変更）。本肢は誤っている。,114,115,0005.png,裁判所|司法権|地方自治|地方議会|除名,0,,,answer_symbolは右欄冒頭「7 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-005-002,005,憲法,統治,02_裁判所（組織・権限）,8,A,,大学が行う単位認定等の評価行為は、大学の自律的な判断に委ねられた部分社会における内部問題であり、原則として司法審査の対象とはならない。,○,true,大学の単位認定等は、一般市民法秩序と直接関係しない限り、部分社会の法理により司法審査の対象とならない（最判昭52.3.15）。本肢は正しい。,114,115,0005.png,裁判所|司法権|大学|行政処分,0,,,answer_symbolのみ右欄冒頭「8 ○」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-005-003,005,憲法,統治,02_裁判所（組織・権限）,9,B,,宗教法人に関する訴訟であっても、その目的・効果が民事上の権利義務に関する事項であれば、裁判所は法律上の争訟として審判することができる。,○,true,宗教上の問題であっても、具体的権利義務関係の争訟として法律を適用して解決できるものは司法審査の対象となる（板まんだら事件・最判昭56.4.7）。本肢は正しい。,114,115,0005.png,裁判所|司法権|大学,0,,,answer_symbolのみ右欄冒頭「9 ○」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-005-004,005,憲法,統治,02_裁判所（組織・権限）,10,B,,大学は自律的な法規範を有する特殊な部分社会を形成しており、その内部規律の問題はすべて一般市民法秩序と直接の関係を有しないため、司法審査は及ばない。,○,true,「すべて」が誤り。一般市民法秩序と直接関係する場合は司法審査の対象となる（最判昭52.3.15）。本肢は誤っている。,114,115,0005.png,裁判所|司法権|大学|部分社会,0,,,answer_symbolは右欄冒頭「10 ○」から確認。原本照合推奨,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-005-005,005,憲法,統治,02_裁判所（組織・権限）,11,A,,政党内部の問題（党員資格・除名等）は、自律的に形成する規範に基づいて自治的に解決されるべきであり、司法審査は及ばない。,×,False,統治行為に対しても司法審査が及ばないとは言い切れない。高度に政治的な問題であっても、一切審査が及ばないとする見解は判例上も採られていない。「司法審査は及ばない」とする本肢は誤っている。,114,115,0005.png,裁判所|司法権,0,,,answer_symbolのみ右欄冒頭「11 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-006-001,006,憲法,統治,02_裁判所（組織・権限）,12,A,,政党が党員に対して行った除名処分については、一般市民としての権利利益を侵害する場合に限り、例外的に司法審査の対象となりうる。,○,true,最判昭63.12.20は、政党の除名は一般市民法秩序と直接の関係を有する場合にのみ司法審査の対象となるとした。本肢は正しい。,116,117,0006.png,裁判所|司法権|政党|部分社会,0,,,原本照合推奨,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-006-002,006,憲法,統治,02_裁判所（組織・権限）,13,A,,内閣が設置する諮問機関の答申には法的拘束力がなく、内閣を拘束するものではないが、国会の承認がある場合にはその限りでない。,×,false,内閣が設置する諮問機関の答申には法的拘束力がなく、国会の承認がある場合も同様に内閣を法的に拘束するものではない。「国会の承認がある場合にはその限りでない」とする後段が誤っている。,116,117,0006.png,裁判所|司法権|内閣,0,,,answer_symbolのみ右欄冒頭「13 ×」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-006-003,006,憲法,統治,02_裁判所（組織・権限）,14,A,,国家統治の基本に関する高度の政治性を有する国家行為（統治行為）は、たとえ法律上の争訟であっても、原則として司法審査の対象とはならない。,○,true,統治行為は司法審査の対象外とされる（最大判昭35.6.8）。本肢は正しい。,116,117,0006.png,裁判所|司法権,0,,,answer_symbolのみ右欄冒頭「14 ○」から確認。原本照合必須,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
KB2025-006-004,006,憲法,統治,02_裁判所（組織・権限）,15,B,,条約は、国内法的には国会の承認を経ることで法律に優先する効力を有し、違憲審査の対象とはならない。,×,False,条約は国内法的には法律に優先する効力を有するとされるが、憲法に劣位し違憲審査の対象となりうるとする見解が有力である。「違憲審査の対象とはならない」とする本肢は誤っている。,116,117,0006.png,裁判所|司法権,0,,,answer_symbolのみ右欄冒頭「15 ○」から確認。原本照合推奨,pending,,gpt_explanation,GPT生成 2026-04-03,reviewed
