page,seq,round1_answer,round2_answer,match,question_start
001,2,×,○,DIFF,内閣は、事前に、時宜によっては事後に、国会の承認を経て条約を締結するが、やむを得
001,4,○,×,DIFF,内閣は、実質的にみて、立法権を行使することがある。
002,1,×,○,DIFF,内閣総理大臣は、その他の国務大臣と平等な関係にあり、慣習として内閣を代表している
003,3,×,○,DIFF,内閣総理大臣その他の国務大臣は、答弁又は説明のため出席を求められたときは、出席し
003,4,○,×,DIFF,国務大臣を任命すること、国務大臣を任免すること、国務大臣の罷免に関し、内閣総理大
003,6,×,○,DIFF,内閣総理大臣の報酬は、在任中、これを減額することができる。
003,7,×,○,DIFF,内閣総理大臣が行政各部に対し指揮監督権を行使するためには、内閣総理大臣が決定した
004,5,○,×,DIFF,法律が、国会の両議院によって議決を経たものとされ、適法な手続により公布されている
004,6,×,○,DIFF,普通地方公共団体の議会の議員に対する出席停止の懲罰は、事も議会の自主的、自律的な
005,1,×,○,DIFF,地方公共団体の議会がその議員に対して行った除名処分は、議会の自律権を尊重すべきで
005,2,×,○,DIFF,大学による単位授与行為（認定）は、純然たる大学内部の問題として大学の自律的判断に
006,1,○,×,DIFF,政党の結社としての自律性からすると、政党の党内に対する処分は原則として自律的運営
006,3,×,○,DIFF,国家統治の基本に関する高度に政治性のある国家行為は、それが法律上の争訟になり、有
007,8,○,×,DIFF,裁判官の身分保障に関連して、下級裁判所の裁判官の任期は10年であり、仮に再任され
008,1,○,×,DIFF,最高裁判所の裁判官は、国民審査による場合を除いて、裁判により、心身の故障のために
008,2,×,○,DIFF,最高裁判所の裁判官は、公の弾劾によって罷免されるが、下級裁判所の裁判官には、弾劾
009,1,○,×,DIFF,最高裁判所は、法令が憲法に適合するかしないかを決定する権限を有する終審裁判所であ
009,2,×,○,DIFF,最高裁判所は、一切の法律、命令等に違憲審査権を有するが、下級裁判所は、この権限を
009,3,×,○,DIFF,わが裁判所が現行の制度上与えられているのは司法権を行う権限であり、そして司法権が
010,3,×,○,DIFF,憲法は、裁判は公開の法廷における対審および判決によってなされると定めているが、訴
010,6,○,×,DIFF,証人尋問の際に，傍聴人と証人との間で会い掛け審問が採られても，審理が公開されてい
011,3,×,○,DIFF,わが国は租税法律主義をとっているので、地方公共団体は、地方税について条例によりそ
013,2,×,○,DIFF,国有財産を特定の宗教団体のためにのみ利用させるには、国会の議決に基づかなければな
013,3,○,×,DIFF,公金は、公の支配に属しない慈善、教育もしくは博愛の事業に対し、支出してはならない
014,1,×,○,DIFF,会計検査院は、国会及び国民に対し定期的に国の財政状況を報告しなければならない。
016,4,×,○,DIFF,地方公共団体が制定する条例は、法令に違反することはできないから、個別の法律の根拠
017,6,×,○,DIFF,憲法改正について国民の承認が得られた場合、内閣総理大臣は、直ちにこれを公布しなく
020,2,○,×,DIFF,課税処分において信義則の法理の適用により当該課税処分が違法であるとして取り消され
020,4,×,○,DIFF,行政主体が一方的なものとして採用決定の取消しについて通挙信義則により信義に反した
024,2,○,×,DIFF,監査機関とは、地方公共団体の監査委員などのように、行政機関の事務や会計の処理を検
024,7,×,○,DIFF,国家公務員の人事行政に関する各種の事務をつかさどるため、総務省の外局として人事院
025,1,○,×,DIFF,上級の行政庁は下級の行政庁に対し訓令権を有しているので、下級の行政庁の違法又は不
025,2,×,○,DIFF,行政庁の権限を補助機関が執行する場合には、代決の場合とは異なり、処分権限は行政庁
025,5,○,×,DIFF,各省大臣は、主任の行政事務について、法律または政令の制定、改正または廃止を必要と
026,2,×,○,DIFF,内閣に置かれる内閣府の長である内閣官房長官は、内閣府の命令である内閣府令を発する
026,4,×,○,DIFF,公正取引委員会、公害等調整委員会、中央労働委員会などの委員会は、庁と同様に外局の
027,1,×,○,DIFF,授権代理は、他の機関に対し自己に代理してその機関の権限を与えるものであり、法律の
027,3,○,×,DIFF,法定代理は、行政庁が欠けたときに法律上当然に代理関係が生ずる。
029,4,○,×,DIFF,火薬類輸入の許可は、講学上の許可にあたる。
030,3,○,×,DIFF,特定の人のために新たな権利を設定し、その法令上の地位を付与する行為を許可という。
