source_image,question_ocr_raw,explanation_ocr_raw,answer_symbol_candidate,ocr_parse_status,ocr_parse_note
0002.png,"人,                                                                                  Kin
く 三:                                             2025年度版 合格革命 行政書土
B [LTL]|11 参議院の緊急集会を求めることは、内閣の権能である。
(H 2 24- 1)
1 EEEaり用 間間間
B [IL 12 「外交関係を処理すること」、「下級裁判所の裁判官を任命
(H 3 -25)     すること」、「政令を制定すること」、「参議院の緊急集会を求
めること」、「大赦、特赦、減刑、刑の執行の免除及び復権を
認証すること」 のうち、日本国憲法において、内閣の権能と
されていないものは、「大赦、特落、減刑、刑の執行の免除
及び復権を認証すること」 である。
B LIL | 13 「政令の制定]、「国会の特別会の召集]、「下級裁判所の裁
(H 8 -24      判官の任命」、|「 国会及び国民に対する国の財政状況について
の報告]、「国会への予算の提出」 のうち、日本国憲法におけ
る、内閣の権能または職務として誤っているのは、「国会の
特別会の召集] である。
 内閣総理大臣の権能
C[LILH| 1 内閣総理大臣は、その他の国務大臣と平等な関係にあり、
(H11-24- 3)   慣習として内閣を代表している。
B | 2 内閣総理大臣は、内閣を代表して議案を国会に提出する。
(H1024- 3)
B LILIL]| 3 法律および政令には、その執行責任を明確にするため、全
(H29- 5 - 4)  て主任の国務大臣が署名し、内閣総理大臣が連暫することを
(563-29- 2)   必要とする。
A [LIL | 4 国務大臣は、その在任中、内閣の同意がなければ、旗追さ
(H9 24- 5)   れない。
(S63-29- 3 )
(H24- 4一1)","el【:
別過去問集 (Japanese Edition)                                                                                                                              ま| Aa        ・
11 〇 内閣は、国に緊急の必要があるときは、参議院の緊急集会を求める                            ーー
ことができる (意法54条 2 項但書)。                                               ーー
12 〇 大赦、特落、減刑、刑の執行の免除および復権を「決定] すること 訂
は内閣の権能ではあるが (憲法73条 7 号)、それらの「認証] は、[天 法
皇] が行うことであり (7条6号)、[ 内閣」 の権能ではない。これに
対して、外交関係を処理すること (73条2 号)、下級裁判所の裁判官
を任命すること (80条 1 項)、政令を制定すること (73条6号)、参議
院の緊急集会を求めること (54条 2 項但書) は内開の権能である。
13 〇 国会の特別会の召集は、天皇の国事行為の1 つであり (憲法7条2
号)、内閣の権能または職務ではない。これに対して、政令の制定
(73条 6 号)、下級裁判所の裁判官の任命 (80条 1 項)、国会および国
民に対する国の財政状況についての報告 (91条)、国会への予算の提
出 (86条) は、内義の権能または職務である。
1 Xぶ 内閣総理大臣は、|「内閣の首長]」 たる地位を有し (意法66条 1 項)、
他の国務大臣と平等の関係にはない。また、内閣総理大皿は、慣習で
はなく憲法明文上の職務として内開を代表する (72条)。よって本朋
は、前段・後段ともに誤っている。
2 〇 内閣総理大臣が内閣を代表して議案を国会に提出することは、憲法
72条の規定するとおりである。
3 〇 法律および政令には、すべて主任の国務大臣が署名し、内閣総理大
臣が連署することを必要とし (意法74条)、この署名と連署により、法
律について執行次任、政令について制定・執行資任を明確にしている。
4 国務大臣は、その在任中、「内閣]」 ではなく、内閣総理大臣の同意
がなければ、旗追されない (意法75条本文)。
ーー ーーーーーーーー",Q11=○; Q2=×; Q12=○; Q7=×; Q1=×; Q13=○; Q6=×; Q3=○; Q4=×,ok,
0003.png,"A HH 5 内閣総理大了臣は、開議の決定を経て国務大臣を態免するこ
(H11-24- 2)   とができるが、国会において国務大臣の不信任の決議が可決
244)    された場合は、闘議の決定を経ずに国務大臣を骸免すること
(H24- 4 -5)   ができる。
B HLT 6 内閣総理大臣その他の国務大臣は、両議院の一に議席を有
(H 4 24- 4)   すると有しないとにかかわらず、いつでも議案について発言
するため議院に出席することができる。
B LILH| 7 内閣総理大臣は、答弁又は説明のため出席を求められたと
($63-29- 1)   きは、議院に出席しなければならない。
B [LIL]1 8 「国務大臣を任命すること」、「 条約を締結すること」、「内
(H 5 -23)     開を代表して外交関係について報告すること」、「国務大臣を
訴追することに同意すること」、「法律及び政令に連署するこ
と」 のうち、日本国意法において内閣総理大臣の権能または
職務に属さきないものは、「 条約を締結すること」 である。
B HH1 9 政令は、憲法73条 6 号に基づき、内閣総理大臣が制定する
(H20- 9 -ア)   もので、闘議決定を経て成立し、天皇によって公布される。
C HH 1 10 内閣総理大臣の報酬は、在任中、これを減額することがで
(H13-6-3)    きない。
B LIL | 11 内閣総理大臣が行政各部に対し指揮監督権を行使するため
(多H21-41)         には、閣議にかけて決定した方針が存在することを要するが、
閣議にかけて決定した方針が存在しない場合においても、内
闘総理大臣は、少なくとも、内閣の明示の意思に反しない限
り、行政各部に対し、随時、その所堂事務について一定の方
向で処理するよう指導、助言等の指示を与える権限を有する。
110 | 内
電","5 X 内閣総理大臣は、任意に国務大臣を態免することができ (憲法68条
2 項)、半議決定を経る必要はないし、国務大臣の不信任決議の影響
は受けないから、本肢は誤っている。                     証・
6 〇 内閣総理大臣その他の国務大臣は、両議院の一に議席を有すると有
しないとにかかわらず、何時でも議案について発言するため議院に出
席することができる (意法63条前段)。
7 〇 内閣総理大臣その他の国務大臣は、答弁または説明のため出席を求
められたときは、出席しなければならない (憲法63条後段)。
8 〇 条約を締結することは「内閣」 の権能であり (憲法73条 3 号)、「内
賠総理大臣] の権能または職務ではない。これに対して、国務大臣を
任命すること(68条 1 項本文)、内開を代表して外交関係について報告
すること(72条)、国務大臣を訴追することに同意すること(75条)、法
律および政令に連署すること (74条) は、内閣総理大臣の権能または
職務である。
9 X 内閣は、凍法および法律の規定を実施するために、政令を制定する
(憲法73条 6 号本文)。したがって、政令の制定権者は、内開であるか
ら、内閣総理大臣とする本肢は誤っている。
10 X 憲法には内閣総理大臣の在任中の報酬の減額を禁止する規定はない。
11 〇 判例 (最大判平7.2.22 : ロッキード事件丸紅ルート) は、内閣総理
大臣の地位および権限から、本肢のように判示する。 内閣総理大臣
は、憲法上、国務大臣の任免権 (憲法68条)、内開を代表して行政各
部を指揮監督する職務権限 (憲法72条) を有するなど、内閣を統率
し、行政各部を統轄調整する地位にあり、内閣法は、閣議は内閣総理
大臣が主宰するものと定め (内閣法4 条)、内閣総理大臣は、 閣議に
かけて決定した方針に基づいて行政各部を指揮監督し (内閣法 6 条)、
行政各部の処分または命令を中止させることができるものとしている
のである (内閣法 8 条)。
内 間| 1
ー/",Q5=×; Q2=×; Q6=○; Q7=○; Q8=○; Q3=×; Q1=×; Q9=×; Q10=×; Q11=○; Q22=×; Q4=×,ok,
0004.png,"テキストp.96109
|1| 司法権の意義・範囲・限界
B HH品人1 すべて司法権は、最高裁判所及び法律の定めるところによ
6 4-25- 1 !       り設罰する下級裁判所並びに特別裁判所に属する。
H7ー24一 3
B ロロロロ| 2 司法権とは、民事事件及び刑事事件の裁判権にとどまらず、
(H10-25-2) | 行政事件の裁判権をも含むものである。
(H6-23-エAA
A ロロロロ| 3 裁判官弾効裁判所及び、家庭裁判所は特別裁判所である。
(H 6 一23ーイ)
(H 2 一23- 2)
(H10-25-- 1)
B ロロロロ| 4 行政機関は、終審として裁判を行うことができない。
(H 2 -23- 1)
A HH| 5 法律が、国会の両議院によって議決を経たものとされ、適
(H19-5-2) | 法な手続によって公布きれている場合、裁判所は両院の自主
1うー 1) | 性を尊重して、法律制定の際の議事手続の下底について審理
しその有効無効を判断するべきではない。
A ロロロロ| 6 普通地方公共団体の議会の議員に対する出席停止の懲食
(オリジナル)     は、専ら議会の自主的、自律的な解決に委ねられるべき問題
ロッcs) | であり、司法審査の対象とをらない。
(R元3一4)
(R 4 --41)
(R6一7ー5)
112 | 裁判所
電","意
法
1 X 憲法76条 1 項は、「すべて司法権は、最高裁判所及び法律の定める
ところにより設置する下級裁判所に属する」 と規定し、特別裁判所は
含まれていない。そして、特別裁判所を設置することはできないから
(憲法76条 2 項)、司法権に特別裁判所は含まれない。
2 〇 明治憲法61条と異なり、日本国憲法下では、司法権は民事事件・刑
事事件のほか、行政事件の裁判権をも含む (憲法76条 1 項・ 2 項)。
3 X 裁判官弾効裁判所は、「地免の訴追を受けた裁判官を裁判するため]
意法自らが例外的に認めた特別裁判所である (憲法64条 1 項)。しか
し、家庭裁判所は、最高裁判所の組織系列下にあり、特別裁判所では
ないから (最大判昭31.5.30)、本肢は調っている。
4 O〇 行政機関は、終審として裁判を行うことができない (憲法76条 2 項
後段)。
5 〇 警察法改正無効事件判決 (最大判昭37.3.7) は、警察「法は両院に
おいて議決を経たものとされ適法な手続によって公布きれている以上、
裁判所は両院の自主性を尊重すべく同法制定の議事手続に関する所論
のような事実を審理してその有効無効を判断すべきでない」 とする。
6 X 判例 (最大判令2.11.25) は、出席停止の懲罰は、議会の自律的な
権能に基づいてされたものとして、議会に一定の裁量が認められるべ
きであるものの、裁判所は、常にその適否を判断することができると
して、普通地方公共団体の議会の議員に対する出席停止の懲凡の適否
は、司法審査の対象となるとしている。
六判所| 113
ー/",Q1=×; Q2=×; Q3=×; Q4=○; Q5=○; Q6=×,ok,
0007.png,"[2] 靖判所の組織・構成

A HH| 1 最高裁判所は、その長たる裁判官及び法律の定める員数の
(H 4 25- 3)  その他の裁判官でこれを構成し、そのすべての裁判官は内閣
(H 8 一25-ア)      が任命する。

B HH 2 すべての裁判官が、その任命後初めて行われる人衆議院議員
(H2-23-5) 』 総選挙の際、国民審査に付される。

A HH | 3 最高裁判所の裁判官は、任命後初めて行われる衆議院議員
(R5-5-4) | 総選挙の際に国民の審査に付されるが、その後、最高裁判所
ロッーッルー 4) | の長官に任命された場合は、任命後最初の衆議院議員総選挙
(H11-25- 3)    の際に、長官として改めて国民の審査に付される。

B HH品| 4 最高裁判所の裁判官の国民審査において、投票者の多数が
(H 8 -25-イ) | 裁判官の崩免を可とするときは、その裁判官は、表免される。
(1 0TTTTTTRRRRRRRRTT
B HH 5 最高裁判所の裁判官は、法律の定める年齢に達した時に退
($63-30- 3)     官する。

(H4-26ー27 0
B HH 6 下級裁判所の裁判官は、法律の定める年齢に達した時に退
(H 7 -24- 5)  官するが、最高裁判所の裁判官には、定年はない。

(H 4 一26- 2 )                       ーー

A HH | 7 下級裁判所の裁判官は、最高裁判所の指名した者の名簿に
(H10-25- 3)    基づいて内閣が任命する。

(H 6 23-ーア)              還還

(H7 -24- 2)

B HH 8 裁判官の身分保障に関連して、下級裁判所の裁判官の任期
(H17-6-3)    は10年であり、仮に再任きれたとしても、法律の定める年齢
に達したときには退官するものとされている。

118 | 栽判所
に","1 X 最高裁判所は、その長たる裁判官および法律の定める員数のその他 ーー
の裁判官で構成するから (意法79条 1 項)、前段は正しい。しかし、 夫
最高裁判所の長たる裁判宜は、「内閣」 ではなく、「天皇| が任命し 法
(6 条2項)、その他の最高裁判所の裁判官は内開が任命するから (79
条 1 項)、後段は誤っている。

2 XX 国民審査に付されるのは、「 最高裁判所の裁判官] であり (意法79
条 2 項)、すべての裁判官ではないから、本肢は誤っている。

3 X 「最高哉判所の裁判官] の任命は、その任命後初めて行われる衆議
院議員総選挙の際国民の審査に付し、「その後10年を経過した後」 初
めて行われる衆議院議員総選挙の際さらに審査に付 し、その後も同様
とする (憲法79条 2 項)。最高裁の長官に任命された場合ではない。

4 〇 最高裁判所の裁判官の国民審査において、 投票者の多数が裁判官の
本免を可とするときは、その裁判官は、明免される (憲法79条 3 項) 。

5 〇 最高裁判所の裁判官は、法律の定める年齢に達した時に退官する
(意法79条 5 項)。

6 X 下級裁判所の裁判官は、法律で定める年齢に達した時には退官する
から (意法80条 1 項但書)、前段は正しい。 しかし、最高裁判所の裁
判官もる、法律の定める年齢 (いわゆる定年) に達した時に退官するか
ら (79条5項)、後段は誤っている。

7 〇 下級裁判所の裁判官は、最高裁判所の指名した者の名薄によって、

内閣が任命する (憲法80条 1 項前段)。

8 〇 下級裁判所の裁判官の任期は10年とされているが、再任されても、

法律の定める年齢に達した時には退官する (意法80条 1 項)。
六判所| 119
ー/",Q1=×; Q6=×; Q2=×; Q3=×; Q4=○; Q5=○; Q7=○; Q8=○,ok,
0008.png,"B LIL 9 下級裁判所の裁判官については、国民審査の制度がなく、
(H11-255)   任期が20年と定められているが、任期満了の際に再任される
ことができる。

[3] 司法権の独立

1 ) 職権行使の独立

B HH 1 すべての裁判官は、その良心に従い独立してその職権を行
(H 8 -25-てエ)   ない、憲法及び法律にのみ拘束きされる。

(S63-30- 5)   還還

(H 2 23- 4)

2 ) 裁判官の身分保障

A LIL 1 最高裁判所の裁判官は、国民審査による場合を除いて、裁
(H 6 --23-ウ)     判により心身の故障のために職務を執ることができないと決
2) | 定された場合及び公の弾効による場合以外は、明免されるこ
(H13-ニ6一4)    とはない。

(R 5一5一5)

B HH| 2 最高裁判所の裁判官は、公の弾効により角免されるが、下
(H 5 24- 3)   級裁判所の裁判官には、弾効制度が適用されない。

B LH品| 3 裁判官の懲戒処分は、行政機関がこれを行うことはできな
(H10-25- 5)   い。

B [ILI| 4 最高裁判所の裁判官の報酬は、在任中、これを減額するこ
(H 5 24- 4)    とができる。

(H13-6-1)   還還還還還還還

A HLHHI 5 裁判官の身分保障に関連して、下級裁判所の裁判官は、意
(H17-6-4) | 法上、すべて定期に相当人額の報酬を受け、在任中、これを減
(H3-6-2) | 寺エメーアホスミみいとちょタンーjl> 0つうつ05055.〔.〈.
non | 額することができないと定められている。
120 | 栽判所

9","9 X 下級裁判所の裁判官に国民審査制度はないこと (意法79条 2 項参
照)、および、任期満了の際に再任きれることができる (80条1項) に
県は正しい。 しかし、下級裁判所の裁判記の任期は、20年ではなく
「10年」 であるから、本股は誤っている。                    意
法
1 〇 すべて裁判鹿は、その良心に従い独立してその職権を行い、この憲
法および法律にのみ拘束される (憲法76条 3 項)。
1 〇 栓免は、①裁判により、心身の故障のために職務を執ることができ
ないと決定された場合、および、②公の弾効による場合 (以上、憲法
78条前段)、③最高裁判所の裁判官に特有の事由として、国民審査に
よる場合 (79条2項・3項) 以外はなされない。
2 X 公の弾効による骨免は、最高裁判所の裁判官と下級裁判所の裁判官
とを問わずなされるから (意法78条前段)、本肢は調っている。
3 〇 裁判官の懲戒処分は、行政機関がこれを行うことはできない (憲法
78条後段)。
4 XX 最高裁判所の裁判窒は、すべて定期に相当額の報酬を受け、この報
酬は、在任中、減額することができないから (意法79条 6 項)、本股
は誤っている。
5 〇 下級裁判所の裁判官は、すべて定期に相当額の報酬を受け、この報
本は、在任中、減額することができない (憲法80条 2 項)。
六着所| 12
ー/",Q9=×; Q2=×; Q1=○; Q3=×; Q4=×; Q6=×; Q5=○,ok,
0009.png,"|4| 裁判所の権能

1 ) 最高裁判所の規則制定権

AIHH| 1 最高裁判所は、裁判所の内部規律・司法事務処理に関し規
(H26-7ー4)    則を制定することができるが、訴訟手続や弁護士に関する定
(gg_o うぅ) | めは法律事項であるから、規則で定めることはできない。

B LT 2 最高裁判所は、下級裁判所に関する規則を定める権限を、
(H5 24- 1 )    下級裁判所に委任することができる。

(S63-30- 4)     IE
2) 法令審査権

B [ILIHI 1 最高裁判所は、法令が章法に適合するかしないかを決定す
(H 4 -25- 4)    る権限を有する終審裁判所である。

B[IL]L]1 2 最高裁判所は、一切の法律、命令等に人違憲審査権を有する
(H 5 -24- 2)    が、下級裁判所は、この権限を有しない。

B [IL 3 わが裁判所が現行の制度上与えられているのは司法権を行
(多H18一41)         う権限であり、そして司法権が発動するためには具体的な争
(H14-5-1) | 訪事件が提起きれることを必要とする。我が裁判所は具体的

な争訟事件が提起されないのに将来を予想して憲法及びその
他の法律命令等の解釈に対し存在する疑義論争に関し抽象的
な判断を下すごとき権限を行い得るもるのではない。
122 | 裁判所
に","意
1 X 最高裁判所は、訴訟に関する手続、弁護士、裁判所の内部規律およ  法
び司法事務処理に関する事項について、規則を定める権限を有する
(憲法77条 1 項)。
2 〇 最高裁判所は、下級裁判所に関する規則を定める権限を、下級裁判
所に委任することができる (意法77条 3 項)。
1 〇 最高裁判所は、一切の法律、命令、規則または処分が憲法に適合す
るかしないかを決定する権限を有する終審裁判所である (憲法81条)。
2 XX 最高裁判所は、違憲和審査権を有するから (意法81条)、前段は正 し
い。 しかし、判例 (最大判昭25.2.1) は、下級裁判所の裁判官も、法
令の凍法適合性を判断する職務と職権を有し (98条 1 項、76条 3 項、
99条参照)、下級裁判所も違憲審査権行使の主体であるとしているか
ら、  後段は訓っ ている。
3 〇 本肢は、警察予備隊違意訴訟判決 (最大判昭27.10.8) の判示のと
おりであり、我が国が付随的違憲審査制を採用していることを判示し
ている。この判決は、意法81条の定める違意審査制の性格の最高裁判
所のリーディングケースである。
裁判所 | 123
ー/",Q1=×; Q2=○; Q3=×,ok,
0011.png,"( 】                                                                                                               Kin
テキストp.110て113

1| 財政民主主義

B Hロロロ| 1 内閣は、災害等緊急の必要があるときは、予算によること
(s62-31-1) | なく、政令によって財政上必要な処分をすることができる。
(H24-5一1)       IIIIIIIIIIIIIIIIIIIIIIIIIII還還還還
[2| 租税法律主義

B HH 1 新たに租税を課すには、法律又は法律の定める条件による
(H9 -26- 1)    ことを必要とする。

A HH 2 市町村が行う国民健康保険は、保険料を徴収する方式のも
(H28-24- 4)       のであっても強制加入とされ、保険料が強制徴収され、農課
(H22-6-エ) | 後収の強制の度合いにおいては租税に類似する性質を有する

ものであるから、租税法律主義の趣旨が及ぶ。

[|3| 国費の支出と国の債務負担行為の議決

B 品品口和| 1 わが国は租税法律主義をとっているので、地方公共団体は、
(H 5 -25- 3)  地方税について条例によりその税目・税率等を定めることは
(H 4 一26- 3)     できない。

B LIL 2 法律で国費の支出を要する行為が定められている場合であっ
(H11-26- 3)     ても、それらの行為に伴って国費を支出するには、国会の議

決に基づくことを必要とする。
A [LIU| 3 国費の支出は国会の議決に基づくことを要するが、国によ
(H27- 7 - 1)  る債務の負担は直ちに支出を伴うもるのではないので、必ずし
(HHうー26-2 | も国会の議決に基づく必要はない。
126 | 財 政
9","意
法
1 X 国の財政を処理する権限は、「国会の議決] に基づいて、行使しな
ければならないから (憲法83条)、内閣の定める命令である政令によっ
て財政上必要な処分ができるとする本肢は誤っている。
1 〇 あらたに租税を課し、または現行の租税を変更するには、法律また
は法律の定める条件によることを必要とする (憲法84条)。
2 〇 判例 (最大判平18.3.1) は、「市町村が行う国民健康保険は…強制
加入とされ、保険料が強制徴収され、駄課徴収の強制の度合いにおい
ては租税に類似する性質を有するものであるから、…憲法84条の趣旨
が及ぶ」 と した。
1 X 条例は民主的基盤を有する地方議会により制定されるものであるか
ら、地方税について、条例により税目・税率等を定めたとしても、坪
法84条の趣旨に反しないと解することができる。よって、条例により
税目・税率等を定めることはできるから、本肢は誤っている。
2 〇 国費を支出するには国会の議決に基づくことが必要であるから (意
法85条)、法律で国費の支出を要する行為が定められている場合であっ
ても、国費を支出するには、さらに85条の国会の議決が必要となる。
3 X 国費を支出し、または国が債務を負担するには、国会の議決に基づ
くことが必要である (憲法85条)。国の債務負担によって債務を弁済
(支出) するため、国費の支出だけでなく、支出前の債務負担行為に
ついてもる国会の民主的コントロールを及ぼすものである。
財 政 | 127
ー/",Q1=×; Q2=○; Q3=×,ok,
0014.png,"決算審査

AL 1 会計検査院は、毎年、国の収入・支出の決算を検査し、内
(H6 -25- 4)   開は、次の年度に、その検査報告とともに、決算を国会に提
(H24- 5一3)       ポポキキーーューーーーマヤー
(H2ー7ー5)   出しなければならない。

(R 5一7ー5)

B LT 2 会計検査院は、毎年国の収入支出の決算を検査し、次の年
(H11-26- 4)     度に決算の検査報告とともに、決算を国会に提出しなければ
(S62-31- 3)   ならない。       還還還
B [IL 3 決算は、予算の場合と同様に、先に衆議院に提出しなけれ
(H6 -25- 5)   ばならない。

 財政状況の報告

B [JH品| 1 会計検査院は、国会及び国民に対し定期的に国の財政状況
(H 4 -26- 4)   を報告しなければならない。

B 品H1 2 内閣は、国会及び国民に対し、定期に、少なくとも毎年 2
(H 9 -26- 3)   回、国の財政状況を報告しなければならない。
192 | 肥 政","1 〇 国の収入支出の決算は、すべて毎年会計検査叶がこれを検査し、内
導は、次の年度に、その検査報告とともちに、これを国会に提出しなけ 奄
ればならない (憲法90条 1 項) 。                   法
2 X 国の収入支出の決算は、すべて毎年会計検査院が検査するから (憲
法90条 1 項)、前段は正しい。しかし、次の年度に決算の検査報告と
ともに決算を国会に提出しなければならないのは「内閣」 であって、
「会計検査院] ではないから、後段は誤っている (90条)。
3 Xぶ 決算については、予算の先議権 (憲法60条 1 項) のような規定はな
いから、 本肢は誤っている。
1 X 会計検査笠ではなく、「内閑」 は、国会および国民に対し、定期に、
少なくとも毎年 1 回、国の財政状況について報告しなければならない
(憲法91条)。
2 X 内閣は、国会および国民に対し、定期に、少なくとも毎年 |「 1回|、
国の財政状況について報告しなければならないのであり (意法91条) 、
2 回ではないから、本肢は誤っている。
財 政| 133
ー/",Q1=○; Q2=×; Q3=×,ok,
0015.png,"( )                                                                           Kin
地方自治
4 =
テキストDp.114て115
CH 1 大日本芝国憲法には、地方自治について規定した条項が設
(H5 -26- 1)   けられていたが、日本国意法は、更に地方自治に制度的保障
を与えた。
A LILHH| 2 地方公共団体の組織及び運営に関する事項は、地方自治の
(H10-26-ウ)   本旨に基づいて、法律で定める。
(H2-22-3)1 ーーデー
(H 8 -21- 4)
B HH品| 3 地方公共団体には、法律の定めるところにより、その議事
(H10-26-ア)     機関として議会を設置する。
B HI 4 地方公共団体の長、その議会の議員および条例の定めるそ
(H 5 -26- 2)   の他の東員は、その地方公共団体の住民が、直接これを選挙
する。
B [LILI| 5 地方公共団体の議会の議員は、間接選挙によって選ぶこと
(H 2 -22- 1)    ができる。
B [LUHT 6 地方公共団体の長及びその議会の議員はその地方公共団体
(H 8 -21- 2)       の住民が直接選挙する。
B Ll 7 特別地方公共団体である特別区は、その長を住民が直接選
(H 5 -26-5)   挙できる地方公共団体と認められる、とするのが最高裁判所
の判例である。
B [| 8 地方公共団体はその財産を管理し、事務を処理し、及び行
(H 8 -21-5)    政を執行する権能を有する。
134 | 地方自治
電","1 X 大日本帝国宣法には、地方自治に関する規定は設けられていなかっ 奄
たため、本肢は誤っている。 なお、日本国憲法は「地方自治|] の章を 流
設け、通説は地方自治という歴史的・伝統的・理念的な制度を保障し
たものと解しているため、後段は正しい。

2 〇 地方公共団体の組織および運営に関する事項は、地方自治の本旨に
基いて、法律でこれを定める (意法92条)。

3 〇 地方公共団体には、法律の定めるところにより、その議事機関とし
て議会を設置する (意法93条 1 項) 。

4 X 地方公共団体の長、その議会の議員および 「法律」 の定めるその他
の更員は、その地方公共団体の住民が、直接選挙するが (意法93条 2
項)、「 条例」 の定めるその他の更員を直接選挙しなければならないわ
けではないから、本肢は誤っている。

5 X 地方公共団体の議会の議員は、その地方公共団体の住民が「直接]
選挙するから (憲法93条 2 項)、本肢は誤っている。

6 〇 地方公共団体の長、その議会の議員および法律の定めるその他の史
員は、その地方公共団体の住民が、直接選挙する (憲法93条 2 項) 。

7 x 判例(最大判昭38.3.27) は、特別区は住民の共同体意識、沿革上
および行政上の実態からして、憲法上の地方公共団体に当たらないと
するから、本股は誤っている。

8 〇 地方公共団体は、その財産を管理し、事務を処理し、および行政を
執行する権能を有し、法律の範囲内で条例を制定することができる
(憲法94条)。

地方自治 | 135
ーー",Q1=×; Q2=○; Q3=○; Q4=×; Q5=×; Q6=○; Q7=×; Q8=○,ok,
0017.png,"1                                                                                                                    Kin
意法改正
テキストp.115<116
B HH 1 この意法の改正は、各議院の総議員の 3 分の 2 以上の賛成
($62-32)         で、国会が、これを発議し、国民に提案してその承認を経な
(H6-26)       ければならない。この承認には、特別の国民投票又は国会の
定める選挙の際行はれる投票において、その過半数の賛成を
必要とする。
意法改正について前項の承認を経たときは、天皇は、国民
の名で、この意法と一体を成すものとして、直ちにこれを公
布する。
A TH 2 憲法の改正は国会が発議するが、そのためには、各議院の
(H13-7-1)    総議員の 3 分の 2 以上の賛成が必要とされる。
B LIL 3 憲法の改正は国会が発議するが、両議院の意見が一致しな
(H13- 7 - 2)    いめい場合には、衆議院の議決が国会の発議となる。
(S63-32- 1)     パパゾヤァヤァヤケザヤヤーポト1†1†つねつつ
B LILILITI 4 各議院の総議員の3 分の 2 以上の成により、特別の憲法
(H13-7ー3)  制定議会が召集さるされ、そこにおける議決をもって憲法改正草
条を策定する。
ALLHHI 5 二法の改正について国民の承認を得るには、特別の国民投
(H13-7ー4)    上昧においてその 3 分の 2 以上の賛成を得ることが必要である。
(S63-32- 3)     IE還還還還還還還還還還還還
(H 4 -26- 1)
B LIL 6 憲法の改正について国民の承認が得られた場合、内総理
(H13-7ー5)    大は、直ちにこれを公布しなくてはならない。
(S63-32- 4)     バイバ11†11†1†1†1†1†フ7†.こt70
188 | 電法改正","1 〇 この憲法の改正は、各議院の総議員の 3 分の 2 以上の将成で、国会 奄
が、これを発議し、国民に提案してその承認を経なければならない 流
(憲法96条 1 項前段)。この承認には、特別の国民投票または国会の定
める選挙の際行われる投票において、その過半数の賛成を必要とする
(96条 1 項後段)。

意法改正について前項の承認を経たときは、天皇は、国民の名で、
この意法と一体を成すものとして、直ちにこれを公布する (96条2
項) 。

2 〇 憲法の改正は、各議院の総議員の 3 分の 2 以上の賛成で、国会が発
議する (憲法96条 1 項)。

3 XX 憲法改正の発議については、衆議院の優越を定めた規定はない。そ
のため、両議院の意見が一致しない場合において、衆議院の議決が国
会の発議になるわけではないから、本肢は誤っている。

4 X 憲法改正は、国会が発議し、国民投票において過半数の賛成があれ
ば成立し (意法96条 1 項)、特別の憲法制定議会の召集やそこにおけ
る憲法改正草案の策定は必要とされていないから、本肢は誤っている。

5 Xぶ 憲法改正の国民の承認は、「特別の国民投票又は国会の定める選挙
の際行はれる投票において、その過半数の賛成を必要とする| と規定
されており (意法96条 1 項)、国民の 3 分の2 以上の替成は必要とさ
れていないから、本肢は誤っている。

6 X 憲法改正の公布は |内閣総理大臣] ではなく、「|天皇」 によって行
われるから (意法7条1 号)、本股は調っている。

宮法改正 | 139
ー/",Q1=○; Q3=×; Q2=×; Q4=×; Q5=×; Q6=×,ok,
